,SN,expectedAge,Age,AgeRange,Gender,Race,S3.Others,Citizen,Marital,WhenMarry,NoMarry.CannotFind,NoMarry.TooExpensive,NoMarry.CannotFindHouse,NoMarry.Others,A3_4.Others,No.Children,No.ChildrenIntend,MoreChildren,Child.TooExpensive,Child.HardSecureHouse,Child.TooCompetitive,Child.TooUncertain,Child.DifficultChildcare,Child.AffectCareer,Child.Enough,Others,A7_8.Others,Breadwinner,PurchaseHouse,WithWho,DecisionMaker,YrPurchase,YrNextChild,DualIncome,SingleIncome,NonHousingAssets,Rank_Size,Rank_Location,Rank_Gains,Rank_MoveInTime,Rank_SellTime,C1_1,C1_2,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,C3_4,C3_a,C3_b,C4Post_1,C4Post_2,C4Post_3,C4Post_4,C5_1,C5_2,C5_3,C6_1,C6_2,C6_3,C6_4,C6_a,C6_b,D1_1,D1_2,D2_1,D2_2,D2_3,D3_1,D3_2,D3_3,D3_4,D3_a,D3_b,D4Post_1,D4Post_2,D4Post_3,D4Post_4,D5_1,D5_2,D5_3,D6_1,D6_2,D6_3,D6_4,D6_a,D6_b,E1_1,E1_2,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,E3_4,E3_a,E3_b,E4Post_1,E4Post_2,E4Post_3,E4Post_4,E5_1,E5_2,E5_3,E6_1,E6_2,E6_3,E6_4,E6_a,E6_b,F1_1,F1_2,F2_1,F2_2,F2_3,F3_1,F3_2,F3_3,F3_4,F3_a,F3_b,F4Post_1,F4Post_2,F4Post_3,F4Post_4,F5_1,F5_2,F5_3,F6_1,F6_2,F6_3,F6_4,F6_a,F6_b,CD_s_1_1,CD_s_1_2,CD_s_2_1,CD_s_2_2,CD_s_2_3,CD_s_2_a,CD_s_2_b,CD_s_3_1,CD_s_3_2,CD_s_3_3,CD_s_4_1,CD_s_4_2,CD_s_4_3,CD_s_5_1,CD_s_5_2,CD_s_5_3,CD_s_5_4,CD_s_5_a,CD_s_5_b,E_s_1_1,E_s_1_2,E_s_2_1,E_s_2_2,E_s_2_3,E_s_2_a,E_s_2_b,E_s_3_1,E_s_3_2,E_s_3_3,E_s_4_1,E_s_4_2,E_s_4_3,E_s_5_1,E_s_5_2,E_s_5_3,E_s_5_4,E_s_5_a,E_s_5_b,Policy.10mopTooLong,Policy.8mopTooLong,Policy.mopWontSell,Policy.mopCanWait,Policy.8clawbackTooStiff,Policy.4clawbackTooStiff,Policy.clawbackWontSell,Policy.clawbackCanCover,Policy.LikeLocation,Policy.LikeBig,Policy.Others,G1_11.Others,ChangeFamilyPlanning,MoreChild,LessChild,PolicyFamily.LessHousingBurden,PolicyFamily.MoreHousingBurden,PolicyFamily.EasierChildrenEnvironment,PolicyFamily.DifficultChildrenEnvironment,PolicyFamily.LifestyleChange,PolicyFamily.Others,G5_6.Others,CentralPublicDemand,CentralPrivateDemand,CentralPublicSupply,CentralPrivateSupply,CentralReturns,CentralVolatility,CentralPublicDemandPost,CentralPrivateDemandPost,CentralPublicSupplyPost,CentralPrivateSupplyPost,CentralReturnsPost,CentralVolatilityPost,PlusPublicDemand,PlusPrivateDemand,PlusPublicSupply,PlusPrivateSupply,PlusReturns,PlusVolatility,PlusPublicDemandPost,PlusPrivateDemandPost,PlusPublicSupplyPost,PlusPrivateSupplyPost,PlusReturnsPost,PlusVolatilityPost,StandardPublicDemand,StandardPrivateDemand,StandardPublicSupply,StandardPrivateSupply,StandardReturns,StandardVolatility,StandardPublicDemandPost,StandardPrivateDemandPost,StandardPublicSupplyPost,StandardPrivateSupplyPost,StandardReturnsPost,StandardVolatilityPost,Winner_LowIncomeBTO,Winner_HighIncomeBTO,Winner_PrivatePropertyPurchasers,Winner_HighIncomeResale,H1_5,Benefit_Below40yo,Benefit_40yo60yo,Benefit_Above60yo,Segregation,LowerWealthAccum,PersonalIncome,Education,Employment,I3.Others,Industry,WorkplaceLocate,WorkplaceLocality,HomeLocate,CurrentHouseOwner,I9.Others,CurrentHousingType,HDBType,PrivateType,I7_b_b.Others,YrMoveInHome,Owner.Parent,Owner.Spouse,Owner.Family,Owner.Friend,Owner.Other,I10_a_5.Others,HomeValueEstimate,RentFrom,I10_r_a.Others,HomeRentEstimate,Two_MatureNew,Two_NonMatureNew,Tri_MatureNew,Tri_NonMatureNew,Tri_MatureResale,Four_MatureNew,Four_NonMatureNew,Four_MatureResale,Four_NonMatureResale,PrePolicyDownpayment,PrePolicyTDSR,Post_PrimeNew,Post_NonMatureNew,Post_PlusResale,Post_NonMatureResale,Z5_1,Z5_2,Z5_3,PostFour_HighestRank,PostFour_MidPrimeNew,PostFour_SmallPrimeNew,PostFour_BigPlusNew,PostPolicyDownpayment,PostPolicyTDSR,Two_Single_MatureNew,Two_Single_MatureResale,Tri_Single_MatureNew,Tri_Single_MatureResale,Tri_Single_NonMatureResale,PrePolicyDownpaymentSingle,PrePolicyTDSRSingle,Post_Single_PrimeNew,Post_Single_PlusResale,Post_Single_NonMatureResale,Z_s_4_1,Z_s_4_2,Z_s_4_3,PostSingleFour_HighestRank,PostSingleFour_PrimeNew,PostSingleFour_PrimeResale,PostSingleFour_BigPlusResale,PostPolicyDownpaymentSingle,PostPolicyTDSRSingle,2ChoiceRANK1,3ChoiceRANK1,4ChoiceRANK1,PostChoiceRANK1,PostFourChoiceRANK1,2ChoiceRANK2,3ChoiceRANK2,4ChoiceRANK2,PostChoiceRANK2,PostFourChoiceRANK2,2ChoiceRANK3,3ChoiceRANK3,4ChoiceRANK3,PostChoiceRANK3,PostFourChoiceRANK3,2ChoiceRANK4,3ChoiceRANK4,4ChoiceRANK4,PostChoiceRANK4,PostFourChoiceRANK4,2ChoiceSingleRANK1,3ChoiceSingleRANK1,PostChoiceSingleRANK1,PostFourChoiceSingleRANK1,2ChoiceSingleRANK2,3ChoiceSingleRANK2,PostChoiceSingleRANK2,PostFourChoiceSingleRANK2,2ChoiceSingleRANK3,3ChoiceSingleRANK3,PostChoiceSingleRANK3,PostFourChoiceSingleRANK3,2ChoiceSingleRANK4,3ChoiceSingleRANK4,PostChoiceSingleRANK4,PostFourChoiceSingleRANK4,single_eligible,Rank_1,single1buy,ineli,Pn1,Pm1,P%1,Pn2,Pm2,P%2,Pn3,Pm3,P%3
371,372,46,25,1,1,2, ,1,3,1.0,1,0,0,0, ,0,5.0,,0,0,0,0,0,0,0,0, ,2,2,2,,2045,2049,,2.0,4,5,4,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,3,20%,20%,1,2,3,1000,950,950,1,2,3,4,55%,45%,0,0,1,1,1,0,1,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,2,4,7,5,7,4,4,4,7,5,4,6,3,4,5,1,1,6,3,4,4,5,1,1,3,4,6,7,7,4,3,7,6,1,1,2,1,5,3,2,4,1,3,2,2,1,7,3,2, ,, ,,Boon Lay,5, ,3,4.0,, ,2005,1,0,0,0,0, ,500000,, , ,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1.0,2.0,3.0,20%,20%,1.0,2.0,3.0,1000.0,950.0,950.0,1.0,2.0,3.0,4.0,55%,45%,,3.0,1.0,1.0,1.0,,1.0,3.0,3.0,2.0,,,4.0,4.0,3.0,,,,,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,3.0,3.0,3.0,,,,4.0,1,5,1,0,1000.0,700.0,0.7,950.0,650.0,0.6842105263157895,950.0,650.0,0.6842105263157895
372,373,50,34,3,1,3, ,1,1,,0,0,0,0, ,1,,2.0,0,0,0,0,0,0,0,0, ,1,2,3,1.0,2040,2025,2.0,,2,4,1,2,3,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,1,3,4,2,20%,10%,1,2,3,4,800,400,600,1,3,4,2,20%,10%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,1,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,4,3,5,4,6,6,6,5,5,5,7,7,6,5,6,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,5,3,1,2,1,3,2,1,5,2,7, ,5.0,Pasir Ris,,Bedok,2, ,3,4.0,, ,2022,0,1,0,0,0, ,600000,, , ,1.0,2.0,1,2,3.0,1.0,3.0,4.0,2.0,20%,10%,1.0,2.0,3.0,4.0,800.0,400.0,600.0,1.0,3.0,4.0,2.0,20%,10%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,,3.0,2.0,3.0,2.0,,,3.0,4.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,800.0,300.0,0.375,400.0,-100.0,-0.25,600.0,100.0,0.16666666666666666
373,374,35,33,3,2,2, ,1,1,,0,0,0,0, ,2,,1.0,1,1,1,0,0,0,0,0, ,2,2,3,2.0,2026, ,2.0,,2,1,2,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,4,2,3,1,80%,50%,1,2,3,4,300,320,350,1,2,3,4,80%,50%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,1,0,0,0,0,1,0, ,1, , ,0,0,0,0,0,0, ,4,4,4,5,3,4,3,4,5,4,3,4,3,4,5,3,4,5,3,4,5,4,4,3,3,4,5,4,3,4,3,4,5,4,6,5,2,3,4,1,5,3,1,2,1,1,6,5,6, ,1.0,Queenstown,,Choa Chu Kang,5, ,3,5.0,, ,1991,1,0,0,0,0, ,700000,, , ,1.0,2.0,1,2,3.0,4.0,2.0,3.0,1.0,80%,50%,1.0,2.0,3.0,4.0,300.0,320.0,350.0,1.0,2.0,3.0,4.0,80%,50%,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,3.0,3.0,3.0,3.0,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,0,1,0,0,300.0,-200.0,-0.6666666666666666,320.0,-180.0,-0.5625,350.0,-150.0,-0.42857142857142855
374,375,30,28,2,1,3, ,1,1,,0,0,0,0, ,6,,1.0,1,0,0,1,1,0,0,0, ,1,2,3,2.0,2026, ,2.0,,1,2,1,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,1,4,2,70%,20%,4,1,3,2,500,450,480,1,3,4,2,70%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,0,0,0,0,0, ,5,2, ,1,0,0,0,1,0, ,2,5,5,2,5,5,5,2,5,3,3,4,5,4,5,5,6,5,7,6,6,5,7,5,4,4,4,4,4,4,7,6,7,6,6,6,1,4,2,3,5,1,2,3,3,1,4,8,3,Housewife,, ,1.0,Segar,2, ,3,3.0,, ,2020,0,1,0,0,0, ,480000,, , ,2.0,1.0,2,1,3.0,3.0,1.0,4.0,2.0,70%,20%,4.0,1.0,3.0,2.0,500.0,450.0,480.0,1.0,3.0,4.0,2.0,70%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,,3.0,1.0,3.0,2.0,,,3.0,1.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,500.0,0.0,0.0,450.0,-50.0,-0.1111111111111111,480.0,-20.0,-0.041666666666666664
375,376,24,24,1,1,1, ,1,3,2.0,0,0,0,0, ,0,1.0,,1,0,0,0,0,1,0,0, ,2,2,3,2.0,2024, ,2.0,,2,4,1,3,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,2,4,1,3,20%,20%,1,4,2,3,700,600,550,2,3,4,1,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,1,1,0, ,1, , ,0,0,0,0,0,0, ,6,6,4,5,5,4,5,5,4,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,2,4,3,1,1,2,3,2,1,5,2,6, ,6.0,Shenton Way,,Woodlands,5, ,3,5.0,, ,2000,1,0,0,0,0, ,600000,, , ,1.0,2.0,1,3,2.0,2.0,4.0,1.0,3.0,20%,20%,1.0,4.0,2.0,3.0,700.0,600.0,550.0,2.0,3.0,4.0,1.0,20%,20%,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,,2.0,4.0,4.0,2.0,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,700.0,200.0,0.2857142857142857,600.0,100.0,0.16666666666666666,550.0,50.0,0.09090909090909091
376,377,35,22,1,2,1, ,1,3,4.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,2,,2037,2032,,2.0,3,4,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,3,1,50%,40%,2,3,1,250,200,175,3,4,1,2,60%,30%,0,0,0,0,0,0,0,0,1,0,0, ,1, , ,0,0,0,0,0,0, ,6,7,4,6,5,6,5,5,6,6,7,4,5,5,4,4,5,4,6,6,5,4,7,5,4,6,5,4,7,4,7,7,6,6,5,4,4,1,5,3,2,1,3,2,3,2,4,3,6, ,9.0,Bright Hill MRT,,Canberra MRT,6, ,3,2.0,, ,2023,0,0,0,0,0, , ,2.0, ,1500,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2.0,3.0,1.0,50%,40%,2.0,3.0,1.0,250.0,200.0,175.0,3.0,4.0,1.0,2.0,60%,30%,,1.0,4.0,4.0,3.0,,3.0,1.0,1.0,4.0,,,3.0,3.0,1.0,,,,,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,,2.0,2.0,1.0,,,,2.0,1,5,1,0,250.0,-50.0,-0.2,200.0,-100.0,-0.5,175.0,-125.0,-0.7142857142857143
377,378,37,35,3,2,3, ,1,1,,0,0,0,0, ,1,,2.0,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2026,2025,3.0,,5,5,3,4,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , ,3,1,2,3,4,70%,50%,4,2,3,1,680,700,710,4,3,2,1,70%,50%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,1,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,7,6,5,6,7,6,7,6,7,6,7,6,7,6,5,6,7,6,6,5,6,7,6,5,6,5,6,7,6,5,6,5,6,7,6,5,5,4,3,2,1,3,2,1,2,2,6,2,7, ,2.0,560123,,Jurong East,2, ,2,,1.0, ,2020,0,1,0,0,0, ,100000,, , ,1.0,2.0, , ,3.0,1.0,2.0,3.0,4.0,70%,50%,4.0,2.0,3.0,1.0,680.0,700.0,710.0,4.0,3.0,2.0,1.0,70%,50%,,,,,,,,,,,,,,,,,,,,1.0,,1.0,4.0,4.0,2.0,,2.0,2.0,3.0,,3.0,3.0,3.0,2.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,0,5,0,0,680.0,0.0,0.0,700.0,20.0,0.02857142857142857,710.0,30.0,0.04225352112676056
378,379,29,25,1,2,1, ,1,1,,0,0,0,0, ,1,,1.0,1,1,0,0,0,0,1,0, ,2,2,3,2.0,2028, ,2.0,,3,3,1,4,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,3,1,3,2,1,4,25%,15%,1,3,2,4,650,400,500,1,2,3,4,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,6,6,4,3,3,3,4,5,4,5,5,5,4,6,3,4,6,6,2,4,4,2,5,5,2,3,2,3,5,4,3,3,1,4,5,5,1,2,4,3,5,1,2,3,2,1,6,2,6, ,10.0,Yew Tee,,Yew Tee,5, ,3,5.0,, ,2020,1,0,0,0,0, ,800000,, , ,1.0,2.0,2,3,1.0,3.0,2.0,1.0,4.0,25%,15%,1.0,3.0,2.0,4.0,650.0,400.0,500.0,1.0,2.0,3.0,4.0,20%,20%,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,,2.0,1.0,2.0,3.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,0,2,0,0,650.0,150.0,0.23076923076923078,400.0,-100.0,-0.25,500.0,0.0,0.0
379,380,27,23,1,2,1, ,1,3,2.0,0,0,0,0, ,0,1.0,,1,0,0,0,1,0,0,0, ,2,2,3,2.0,2028, ,2.0,,2,1,4,5,3,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,1,2,4,3,20%,20%,1,2,3,4,400,350,400,1,3,4,2,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0,0, ,1, , ,0,0,0,0,0,0, ,5,5,4,3,4,4,5,5,4,3,6,6,5,5,4,4,6,7,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,3,2,5,4,1,1,2,3,1,2,7,5,2, ,, ,3.0,Lakeside MRT,5, ,3,4.0,, ,2012,1,0,0,0,0, ,550000,, , ,1.0,2.0,1,3,2.0,1.0,2.0,4.0,3.0,20%,20%,1.0,2.0,3.0,4.0,400.0,350.0,400.0,1.0,3.0,4.0,2.0,20%,20%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,,2.0,4.0,3.0,2.0,,,3.0,4.0,3.0,,,,,,,,,,,,,,,,,0,1,0,0,400.0,-100.0,-0.25,350.0,-150.0,-0.42857142857142855,400.0,-100.0,-0.25
380,381,30,24,1,1,1, ,1,3,4.0,0,0,0,0, ,0,3.0,,0,0,0,0,0,0,0,0, ,2,2,3,2.0,2030,2032,2.0,,3,2,1,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,3,1,4,2,20%,15%,3,1,4,2,650,450,600,1,3,4,2,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,1,0,1,1,0, ,1, , ,0,0,0,0,0,0, ,6,4,5,4,5,5,6,6,4,4,6,6,6,5,6,4,6,6,6,5,5,4,6,6,4,5,5,4,5,5,5,5,4,4,6,5,2,1,4,3,5,2,1,3,2,1,7,3,2, ,, ,3.0,Boon Lay MRT,5, ,3,4.0,, ,2007,1,0,0,0,0, ,500000,, , ,2.0,1.0,2,1,3.0,3.0,1.0,4.0,2.0,20%,15%,3.0,1.0,4.0,2.0,650.0,450.0,600.0,1.0,3.0,4.0,2.0,20%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,,3.0,1.0,1.0,2.0,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,650.0,150.0,0.23076923076923078,450.0,-50.0,-0.1111111111111111,600.0,100.0,0.16666666666666666
381,382,33,28,2,1,3, ,1,1,,0,0,0,0, ,2,,3.0,0,0,0,0,0,0,0,0, ,1,2,3,1.0,2029,2028,2.0,,1,1,2,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,3,1,2,3,4,20%,20%,1,3,2,4,400,300,500,4,3,2,1,20%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,1,1,0,0,0,0, ,4, ,2,0,1,0,1,1,0, ,7,6,4,3,3,2,3,2,1,2,3,2,4,4,4,4,4,4,1,1,1,1,1,1,3,2,2,2,2,2,1,1,1,1,1,1,4,2,1,3,5,1,2,3,2,2,4,5,6, ,5.0,Lavender,,Marsiling MRT,2, ,3,4.0,, ,2023,0,1,0,0,0, ,500000,, , ,2.0,1.0,2,1,3.0,1.0,2.0,3.0,4.0,20%,20%,1.0,3.0,2.0,4.0,400.0,300.0,500.0,4.0,3.0,2.0,1.0,20%,20%,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,2.0,2.0,,,4.0,4.0,1.0,,,,,,,,,,,,,,,,,0,1,0,0,400.0,-100.0,-0.25,300.0,-200.0,-0.6666666666666666,500.0,0.0,0.0
382,383,35,24,1,2,1, ,1,3,1.0,1,0,0,0, ,0,1.0,,1,0,0,1,1,0,0,0, ,2,2,2,,2035, ,,3.0,4,3,1,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,3,1,2,3,1,4,30%,20%,2,3,1,4,900,800,800,3,2,1,4,30%,20%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,0,0,1,0,1,0,0, ,1, , ,0,0,0,0,0,0, ,7,7,6,6,2,2,6,6,4,4,2,2,6,6,4,4,2,2,6,6,4,4,2,2,6,6,4,4,2,2,6,6,4,4,2,2,1,3,4,2,5,1,2,3,1,1,7,2,3,Student,, ,3.0,Marsiling,5, ,3,7.0,, ,2002,1,0,0,0,0, ,1000000,, , ,1.0,2.0,2,3,1.0,2.0,3.0,1.0,4.0,30%,20%,2.0,3.0,1.0,4.0,900.0,800.0,800.0,3.0,2.0,1.0,4.0,30%,20%,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,0,2,1,1,900.0,-100.0,-0.1111111111111111,800.0,-200.0,-0.25,800.0,-200.0,-0.25
383,384,36,30,2,2,1, ,1,3,3.0,0,0,0,0, ,1,,4.0,0,0,0,0,0,0,0,0, ,1,2,3,2.0,2030,2030,2.0,,4,2,4,3,5,1, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,3,4,1,2,3,20%,20%,3,1,2,4,500,400,400,2,3,1,4,20%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,1,0,1,0,0, ,4, ,1,0,1,0,1,1,0, ,4,4,5,5,4,5,4,4,5,4,5,4,4,5,5,4,4,5,5,4,5,5,5,4,4,3,4,5,4,5,4,4,4,5,4,5,2,3,1,4,5,2,1,3,1,1,6,2,6, ,14.0,Orchard,,Bishan,1, ,3,4.0,, ,2018,0,0,0,0,0, ,800000,, , ,2.0,1.0,1,2,3.0,4.0,1.0,2.0,3.0,20%,20%,3.0,1.0,2.0,4.0,500.0,400.0,400.0,2.0,3.0,1.0,4.0,20%,30%,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,,3.0,4.0,1.0,2.0,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,0,5,0,0,500.0,0.0,0.0,400.0,-100.0,-0.25,400.0,-100.0,-0.25
384,385,34,33,3,1,1, ,1,1,,0,0,0,0, ,2,,3.0,0,0,0,0,0,0,0,0, ,1,2,3,1.0,2025,2024,2.0,,1,2,1,5,4,3, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,3,2,3,4,1,30%,20%,1,3,4,2,500,400,500,2,4,3,1,30%,30%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,0,0,0,0,1,1,0, ,1, , ,0,0,0,0,0,0, ,4,2,5,3,3,2,4,3,5,5,3,3,5,4,5,5,4,5,3,5,3,5,4,3,4,4,5,4,4,5,3,4,4,4,4,4,1,3,2,4,5,1,2,3,2,1,5,3,6, ,8.0,078867,,Yishun,3, ,3,4.0,, ,2008,0,1,0,0,0, ,400000,, , ,1.0,2.0,1,2,3.0,2.0,3.0,4.0,1.0,30%,20%,1.0,3.0,4.0,2.0,500.0,400.0,500.0,2.0,4.0,3.0,1.0,30%,30%,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,,3.0,2.0,2.0,3.0,,,3.0,3.0,2.0,,,,,,,,,,,,,,,,,0,2,0,0,500.0,0.0,0.0,400.0,-100.0,-0.25,500.0,0.0,0.0
385,386,35,31,3,2,1, ,1,3,2.0,0,0,0,0, ,0,1.0,,1,1,1,1,0,0,0,0, ,2,2,3,2.0,2028, ,2.0,,3,2,1,3,5,4, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,1,3,2,4,20%,10%,1,3,2,4,600,400,500,1,3,4,2,30%,10%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,0,0,0,0,0,0,0,0, ,5,2, ,0,0,1,0,1,0, ,6,5,4,4,7,7,4,4,4,4,6,6,4,4,4,4,6,7,4,4,4,4,6,7,4,4,4,4,6,7,4,4,4,4,6,7,2,1,4,3,5,3,2,1,2,1,5,2,6, ,17.0,Redhill,,312130,5, ,3,4.0,, ,2017,1,0,0,0,0, ,800000,, , ,1.0,2.0,1,3,2.0,1.0,3.0,2.0,4.0,20%,10%,1.0,3.0,2.0,4.0,600.0,400.0,500.0,1.0,3.0,4.0,2.0,30%,10%,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,,2.0,2.0,2.0,2.0,,,4.0,4.0,3.0,,,,,,,,,,,,,,,,,0,2,0,0,600.0,100.0,0.16666666666666666,400.0,-100.0,-0.25,500.0,0.0,0.0
